Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"386777896311",Cream & Beige Natural Genuine Shell Beaded Fashion Stretch Bracelet ,,Cream & Beige Natural Genuine Shell Beaded Fashion,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 23:10:08 PST","Jul-14-24 23:10:08 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777904381",Silver Tone With Genuine Natural Tiger Eye Gemstone Chip Beaded Fashion Necklace,,Silver Tone With Genuine Natural Tiger Eye Gemston,"1","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 23:14:56 PST","Jul-14-24 23:14:56 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386777918429",Handmade Genuine Semi-preicious Amethyst Chunk Pendant & Necklace + Bracelet Set,,Handmade Genuine Semi-preicious Amethyst Chunk Pen,"1","FIXED_PRICE","USD",49.95,,,49.95,"0","","","","Feb-14-24 23:22:41 PST","Jul-14-24 23:22:41 PDT","Jewelry Sets","34071","","","Pre-owned","","","","","","US","","",""
"386777934349",Handmade Artisan Black Lava Rock & Cream Gemstone Round Stretch Fashion Bracelet,,Handmade Artisan Black Lava Rock & Cream Gemstone,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-14-24 23:32:21 PST","Jul-14-24 23:32:21 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777943558",Genuine Real Multicolor Blue Black Grey Round Gemstone Beaded Stretch Bracelet,,Genuine Real Multicolor Blue Black Grey Round Gems,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-14-24 23:37:02 PST","Jul-14-24 23:37:02 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777951755",Cream Colored Genuine Handmade Agate Stretch Bracelet + Agate Chunk Charm,,Cream Colored Genuine Handmade Agate Stretch Brace,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-14-24 23:42:03 PST","Jul-14-24 23:42:03 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
"386777977277",Genuine Handmade Multicolor Unakite Round Gemstone 6mm Beaded Fashion Necklace,,Genuine Handmade Multicolor Unakite Round Gems 002,"3","FIXED_PRICE","USD",12.95,,,12.95,"0","","","","Feb-14-24 23:54:43 PST","Jul-14-24 23:54:43 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386777982736",Genuine Handmade Multicolor Unakite Round Gemstone 4mm Beaded Fashion Necklace,,Genuine Handmade Multicolor Unakite Round Gemstone,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-14-24 23:59:02 PST","Jul-14-24 23:59:02 PDT","Necklaces & Pendants","110655","","","Pre-owned","","","","","","US","","",""
"386777990424",Four (4) Natural Gemstone Round Handmade Beaded Multicolor Stretch Bracelet Lot,,Four (4) Natural Gemstone Round Handmade Beaded Mu,"1","FIXED_PRICE","USD",19.95,,,19.95,"0","","","","Feb-15-24 00:04:27 PST","Jul-15-24 00:04:27 PDT","Bracelets & Charms","261996","","","Pre-owned","","","","","","US","","",""
"386778014514",Dark Colored Cord Fashion Necklace With White & Clear Stone Pendant 13”inch,,Dark Colored Cord Fashion Necklace With White & Cl,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-15-24 00:19:48 PST","Jul-15-24 00:19:48 PDT","Necklaces & Pendants","155101","","","Pre-owned","","","","","","US","","",""
"386778029474",Gold Tone Chunky Chain Bracket + Chunky Faux Torquise Stone Slab Charm Bracelet,,Gold Tone Chunky Chain Bracket + Chunky Faux Torqu,"1","FIXED_PRICE","USD",9.95,,,9.95,"0","","","","Feb-15-24 00:25:27 PST","Jul-15-24 00:25:27 PDT","Bracelets & Charms","261987","","","Pre-owned","","","","","","US","","",""
